"Country";"ComplexDisasters";"Drought";"Earthquake";"Epidemic";"ExtremeTemperature";"Flood";"IndustrialAccident";"InsectInfestation";"MassMovementDry";"MassMovementWet";"MiscellaneousAccident";"Storm";"TransportAccident";"Volcano";"Wildfire"
"Afghanistan";0;5;27;20;5;57;5;1;1;9;8;5;19;0;1
"Albania";0;1;5;2;3;7;1;0;0;1;1;2;2;0;1
"Algeria";0;2;19;2;1;43;1;2;0;1;7;4;29;0;2
"American Samoa";0;0;1;0;0;1;0;0;0;0;0;4;0;0;0
"Angola";0;6;0;16;0;18;1;0;0;1;4;0;36;0;0
"Anguilla";0;1;0;5;0;1;0;0;0;0;0;6;1;0;0
"Antigua and Barbuda";0;1;0;0;0;0;0;0;0;0;0;10;0;0;0
"Argentina";0;1;5;1;7;44;3;0;0;2;6;16;19;2;5
"Armenia";1;1;1;0;0;3;1;0;0;0;2;0;2;0;0
"Australia";0;10;4;1;4;50;2;2;0;2;7;92;19;0;28
"Austria";0;0;1;0;3;13;1;0;0;8;1;16;6;0;0
"Azerbaijan";0;1;3;0;0;5;1;0;0;1;0;0;10;0;0
"Azores";0;0;3;0;0;0;0;0;0;1;0;2;3;0;0
"Bahamas";0;0;0;0;0;1;0;0;0;0;0;20;3;0;0
"Bahrain";0;0;0;1;0;0;1;0;0;0;0;0;3;0;0
"Bangladesh";1;6;7;30;18;78;10;0;0;1;12;155;139;0;0
"Barbados";0;0;1;0;0;2;0;0;0;0;1;6;0;0;0
"Belarus";0;0;0;2;2;3;0;0;0;0;2;2;1;0;0
"Belgium";0;1;2;1;6;20;34;0;0;0;20;21;28;0;0
"Belize";0;0;0;0;1;4;0;0;0;0;1;13;1;0;0
"Benin";0;2;0;20;0;13;1;0;0;0;1;0;6;0;2
"Bermuda";0;0;0;0;0;0;0;0;0;0;0;6;2;0;0
"Bhutan";0;0;0;2;0;3;0;0;0;0;0;1;0;0;1
"Bolivia";0;8;3;11;3;31;1;0;0;5;0;2;26;0;3
"Bosnia and Herzegovina";0;2;0;1;1;4;0;0;0;1;0;2;3;0;1
"Botswana";0;6;0;3;0;5;0;1;0;0;0;0;0;0;0
"Brazil";0;15;2;14;7;97;13;1;0;22;21;16;96;0;3
"Brunei Darussalam";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Bulgaria";0;2;5;0;6;12;1;0;0;1;0;5;5;0;4
"Burkina Faso";0;11;0;20;0;12;2;3;0;0;1;0;7;0;0
